disc,label
this is a description,u
tritium decay long time experiment,o
5 rtc gps ok 32 cmd pmp on 64 acoustic tx ok 128 transmission fault,o
pump controller based on arduino and esp link,o
pi in wash room,u
first weather station,w
sparkcore sending humidity light and temperature,t
testing esp,u
present data from daylight sensor as light pulses in ms and us and temp in degree c,o
water flow detection,o
mathworks weather station west garage natick ma 01760 usa,w
sk orchids fern plant monitoring,o
first trial with thingspeak and pi3,u
wemos d1 mini lite read temperature and humidity from dht22,t
this channel receives 8 parameters pertaining to vehicle gps data,o
trying to connect arduino uno with esp8266,u
logging of temp and humidity in the kitchen fridge using esp8266 dht22,t
current weather readings and solar powered station battery voltage,w
temperature and humidity,t
esp 8266 based heating controller equipped with forecast feature to compensate lag of the hydronic underfloor heating,o
wifi thermometer with esp8266 and dht12 bmp280,t
temperature sensor use wifi to update on thingspeak,t
temp logging whit esp8266,t
data from weatherstation located in korolev moscow region taken with davis vantage pro 2,w
3 devices measuring energy at home,e
weather station using esp8266,w
to count the waste thrown,o
this datastream shows inside and outside temperature of my home and also the battery power and voltage of my solar powered home,t
ultrasonic waves,o
weather station,w
test channel for logging data to verify functionality,u
track output changes of my homecontrol openhab,o
use for home automation,u
this will be the first esp 8266 readout channel,u
the connected beehive,o
tracking temperature and humidity in the brewery,t
reading the updated temperature sensor values,t
temperature and humidity,t
living room temperature humidity and atmospheric pressure in taipei taiwan,t
home security and monitor in wilmington nc,o
measurement of road traffic in front of ont headquarters in krak w poland,o
find temperature,t
higrometro y termometro via wifi,t
keeps an eye on the air quality around our precious developers,o
iot workshop by platforuma,u
iotworkshop by platforuma,u
iot workshop,u
iot workshop,u
sensor readings from the main bedroom sensor block,u
home water cylinder temparature,o
atmostpheric data using a d1 mini and bme280 sensor,w
testing esp8266 weather station,w
monitoring system for silkworms incubator,o
bedroom temperature humidity monitored using an esp32 and a dht11 sensor,t
ict task,u
this one leg of the 220 vac feed to the submersible pump supplying our farm,o
logs data from bedroom heater control,t
time it takes to spend 1 watt,e
height of electrolyte,o
itdepartmentsecyear,u
selci is a very bad,u
using esp12 and ds18b20 sensor powered from small solar panel 0 5w and li ion battery,t
esp8266 201 thermometer,t
connection of ac split core transformers to my washer and dryer with esp8266 and ads1115,e
sht30 sensor connected to wemos d1 mini platform with antenna low power,t
home status monitoring,o
esp8266 with i2c arduino slave and mq 2 mq 7 gas sensors with sht21 temp hum sensor posting via mobile 4g wifi,t
from iot module 8,u
temperature humidity,t
2 rain barrels and smart irrigation systems,o
irrigation water level monitoring and temp humidity via dht11 sensor,t
second weather station based on nodemcu and dht22,w
this data displays the air quality information gathered from the palmy weather website based in palmerston north new zealand http palmyweather co nz,o
bme280 ds18b20 bh1750 dht11 esp 8266 ssd1306 attiny13a fs1000a,t
temp and vibration,t
sensors dht22 and adafruit bmp280 inside of the shed wireless connection esp8266 and arduino uno,t
autonomous temperature wifi sensor for my fish tank,t
lora iot home environmental monitoring system,o
outside temperature humidity air pressure and light level,t
internal sm1131 th06,w
temperature and humidity monitoring device 1,t
temperature humidity monitoring channel,t
ockway bay tide measured using maxbotix ultrasonic range sensor particle electron,o
temperature and humidity monitoring at home,t
weather condition in humenne slovakia measured by bme280 data sended by iot lpwan sigfox node uart modem 868mhz,w
wine stability temperature and extras,t
mesure temperature and humidity,t
reads from dth11 sensor and uploads every 30 seconds,t
receive change in data and send an email,u
zolly hive data adjusted for humidity,o
home made station based on arduino nano dht22 and bmp180,w
monitors the temperature and humidity in the lab,t
heating curve computed by the matlab gathering data online from sensors in the house,o
updated every 15 minutes this is the first lora weather station installed in the felton valley with the assistance of cambooya landcare association this is a demonstration evaluation and educational project by queensland daf and dsiti,w
working on wifi module,o
temperature pressure and humidity readings in moscow koptevo,t
personal weather station,w
test arduino uno wifi analog read a0 and a1 dht22 for humidity and temperature,t
pig easy sow feeder 1,o
solar power generation,e
this clock is eibenoria wifi clock,u
solar powered wifi weather station wemos d1 mini bme280,w
esp8266 d1 mini with dallas ds18b20 temperature sensor,t
chicken coop heater light and temperature controll,t
lab temperature and humidity measurement,t
nodemcu with bmp180 and dht22,t
indoor and outdoor temperature plus outdoor humidity and tank level,t
crop monitoring system,o
wemos d1 show temp humid for 7 days,t
iot workshop,u
iot workshop,u
iot workshop by platforuma,u
prater bedroom tempaerature and humidity,t
a wemos d1 mini pro based weather station to measure ambient temperature humidity barometric pressure amount of rainfall,w
arduino uno wiznet shield measuring temperature with kty10 6,t
esp8266 with bme280,t
things about my vm posted trough a bash script called every 10 minutes,u
tracer upload from esp8266,o
temperature humidity barometric pressure altitude sensor,t
monitors a medical freezer at 80c,t
monitors a medical freezer at 80c,t
front porch shaded,u
monitoring temperature and humidity,t
iaq air quality test of live data to the channel feed,o
faculty of engineering in bilbao university of the basque country upv ehu,u
electricity meter,e
dust in the space,o
this is to monitor temperature humidity and light intensity,t
heating,o
temp and humidity in my humidor,t
data logger in the utility server closet at home,u
a ds18b20 temp senor in my basement connected to an esp8266 01 running nodemcu,t
temperature humidity,t
heart beat project,o
contains projects in iot robot programming course,o
testing,u
this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,o
a generic data logger that is used to display the water level in overhead tank sump as a percentage,o
esp8266 and ds18b20,t
this is a rad mon geiger counter located at the cly institute for radio research directly west of 3 mile island,o
measure temperature and air humidity in and around my house,t
temperatures at a cabin in willow canyon catalina mountains near tucson arizona readings are taken outside inside and in the crawl space under the cabin,t
temprature humidity and heat index data logger,t
solar water heating system direct coupled separate vac tube array connected to a well insulted 150 litre geyser using natural thermo siphon for heat transfer electric element backup is connected with timer set on from 18h00 to 20h00,o
temp and humidity,t
weather monitoring,w
hg_testlora01,u
created by srinix college of engg bls 7th semester 2015 2019,u
monitoring hive temperature humidity and weight,t
project to monitor the weather,w
showing the values of an more than 20 years old thermometer working with a z 80 cpu from zilog,t
this channel is use for temp and humidity sensor,t
read temp by dht11,t
to measure the analog output from potentio sensor,o
data from node in box on water center roof,o
temperature in the swindon makerspace,t
tvoc measured by iaq core c,o
upload temperature and humidity,t
thermometer ds18b20 simple light meter photoresistor and bh1750 for lux metering on balcony west side 2nd floor in shadow,t
this channel include data receiving from device,u
temperature of upper and lower compartments,t
analyzing data of weather factors in cultives,w
iot workshop,u
esp weather station,w
for working,u
change temperature from celsius to farenheit automatically,t
humidity and temp from oregon and fibaro daaf,t
inter exterior temperature conditions,t
weather master_br node,w
nus l5 people counter,o
nus l3 people counter,o
temperature humidity,t
experimental outdoor geiger counter with 20 tube,o
temperature humidity and pressure in dresden klotzsche germany from bosch bme280 sensor,t
room occupancy status,o
weatherstation based on wemos d1 mini and bme280,w
tmp,t
temperature humidity,t
wifi signal strength temperature humidity itb home,t
do you want to know how many times you have squished your connected gato,o
outside temperature homematic differential sensor preassure humidity bme280 hooked up to a wemos d1 mini windspeed meassured with an anemometer connected to a second wemos d1 mini all data is collected by a raspberry pi running iobroker the tran,t
temperature humidity light level and barometric reading in my office and outside the window,t
dry walls within 200m2 protection against the return of rising damp it destroys removes mold the smell disappears,u
know how to work with thingspeak,u
this data is from a weatherduino pro2 plus air quality monitor development module weather station is located in darra qld australia,w
raspberry pi temp monitoring of motorhome,t
diy mcu coffee plant channel esp8266 dht22 vh400 tsl2561 bmp180 mqtt server test mosquitto org wildcard subscription sensors op 477895 twitter https twitter com mrcoffeeplant,o
temperature humidity test,t
smartthings integration thingspeak monitoring all smart switches kw,u
homemade weatherstation,w
test input from multiple sources,u
nodemcu with 4 ds18b20 temperature probes i will eventually move the probes over to the furnace and hot water heater etc when i get a more permanent enclosure for it,t
co2 temperature humidity air pressure,t
my thermometer experiment,t
oder turn turbine rotation navigator,o
second ieee weather station,w
water level from hydroalert device at lakewood drive at bull creek crossing,o
power supply watch,e
sketch_sep09a_monitoring_door_opening_energy_use,e
all in one,u
family medical tphcm,u
temperature humidity heat index,t
sky quality meter at taursa observatory,o
this board measures the temperature light intensity,t
display of industrial safety and hazard parameters,o
raspi 06 firewall,u
computed data from 01d25ff,u
temperature from current cost via hah,t
air quality station from lorathens network national rd dafni,o
if temperature is above 20 degree need to get mail,t
temperature is cool,t
iot workshop,u
reading of temp sensor,t
to receive the donate easy parameters,u
testing purpose,u
send text from sim800a to thingspeak server,o
temp of room,t
this is data from a weatherduino proplus air quality monitor,w
weather in sobreira portugal,w
a testbed for the technology used for a diy arduino based weather station in hebburn,w
iot workshop,u
iot workshop,u
weerstation in onze hobbykas,w
iot workshop,u
costal piko 10 1 basic plus some php code,u
pomiar temperatury ds18b20,t
temperature humidity pressure monitoring,t
just for learning,u
dance machine with programming,o
my personal server,u
i am a software engineer,u
to learn,u
ik0adr thingspeak test,u
wc outside dht 01,u
outdoor weather,w
humidity and temperature monitoring over a week,t
this channel displays the vocs and equivalent c02 in the air using various environmental sensors the values are currently updated every 10 minutes,o
temp humid of parts room,t
th 007,u
by home,u
temperature and pressure,t
daily high low temps heating vent,t
humboldt county california,u
channel for extended fhm demonstrator 2,u
sensor information from my top bar honey bee hive,u
posting light and temperature data from my particle photon,t
my diy weather station data,w
samplant humidity and temp north west corner,t
pressure readings from the main well pump,o
heating system,u
esp32 thingspeak node red,u
pzem 004t and esp8266 energy monitor,e
weather station home,w
arduino and esp for iot,u
temperature at lvl 2 of the gordon building,t
air quality sensor at visionsbox,o
tele information,o
tphcm eca gpis4 4eth,u
outdoor temperature and humidity,t
pal server room temp and humidity,t
warrington,u
location germany bw,u
i me and myself only,u
i am a software engineer,u
internet of things,u
this channel shows temperature pressure and humidity logged by andre raspberry pi and a bosch bme280 sensor,t
kitchen temperature outside temperature,t
ground water level,o
checking temperature measurement,t
status location,u
roses are red,u
my research projects,u
please be accurate,u
temperature sensors in glycol tank,t
humidity and temp sensor,t
decagon 5tm soil moisture and temperature sensor in my backyard sdi 12 usb adapter and raspberry pi zero,t
3d printed weather station using arduino based mbili board wee wifi board and sensors,w
ivf clinic sister to roseville f1f134403010,u
the mtv team,u
temperature sensors living room incl outside,t
shows iphone gps coordinates lat lon altitude and speed uses blynk gps widget and esp8266 wifi micro controller,o
measures the temperature and humidity of home brew during fermentation and carbonation,t
iroomba weather,w
it is a miniature monitoring system that connects living plants to the world of internet,o
this is my new channel,u
automatic door lock with rfid basic iot,o
this channel monitors the air and water temperature of my 10ft pool,t
bedroom temperature humidity and atmospheric pressure in taipei taiwan,
temperature and humidity somewhere in germany,t
test thingspeak,u
dht22 sensor attached to an esp201 esp8266 based microcontroller,t
monitoring that i have,u
tipping bucket rain gauge modified pro mini 3 3v nrf24 sleep mode battery operated low power 6ua during stand by,w
to help poultry firm,u
for calibration,u
real time temprature analysis,t
arduino nano esp8266 bmp180 dht11 dht22 ds18b20 wh1080 anemometer wind direction meter and rain gauge,w
esp8266 with mq135 to measure air quality and dht22 to measure temperature and humidity,t
measuring weather parameters,w
measuring weather related parameters,w
measuring weather related parameters,w
ternopil real time outdoor air quality monitor point 3,o
the temp of him,t
main power consumption,e
solar off grid with tracking,e
using the arduino temperature and humidity sensor,t
basement furnace and freezer,o
esp weather station,w
test sigfox wisol arduino raspberry esp8266,u
kty10 6 connected to the adc of a ts 7200 cpu board running ts linux,o
top and bottom of evaporator panel,u
the daniel boat,u
my home channels tinaco taguatinaco,u
indoor from esp8266,u
lolin esp 12e esp8266 nodemcu sb mc with bosch bme280 weather sensor,w
weather at thasala by bmp280,w
temp humidity1,t
weather,w
only temperature in celcius,t
i will make some useful and successfull hardwares for use,u
temp_testing,t
information of crayfish aquarium,o
inside air temperature based on esp8266 wifi module and ds18b20 temp sensor,t
temperature humidity and pressure with bme280 wemos,t
my flat,u
meteo data from vihorlat mountains slovakia measured by bme280 sensor data is transmitted by iot lpwan sigfox node uart modem 868mhz,o
temperature humidity pressure light from nodemcu with dht22 bmp180,t
home outside temp humidity from nodemcu and dht22,t
a little iot lab,u
checking in out temperature from central heater using one wemos d1 and two ds18b20 code and schematics will be avaiable soon,t
display weather report,w
this is the temperature swings of bedroom on the first floor with the heater vent open,t
pfsense comcast speed test,o
water level monitoring,o
esp8266 counter iot,u
unisoft,u
collection of data from arduino weather station new data every 10 minutes,w
location germany bw,u
envision power monitor,e
with alphasense opc n2 running on alternator power,e
tracking drift in time with an atmega328 acting as the rtc using 32 768 khz crystal,u
monitors the house temp humidty downstairs temperature upstairs to interface with ducted heating controller and also measures 2x roof cavity temperatures and outdoor temp to evaluate heat extraction during winter,t
temperatures of two ds18b20 sensors,t
data from soil moisture temperature humidity and luminosity sensors,t
temperatur in my house and outdoor with teperature tubes out and in of gas boiler,t
this channel is about some basic commands and projects based on arduino uno,u
temperature humidity pressure cpm dose us and rssi,t
heating at home,o
pm2 5 pm10 contentration in my house in warsaw,o
radiation level in montreal click on more information,o
weather station placed in my garden,w
weather station placed in my garden,w
sense voltage and current of battery,e
esp8266 weather station,w
some esp8266 mini d1 with ds18b20 temperature sensors latest experiment is with the bmp280 exact barometric pressure and really good temperature,w
im a plant living near bricogeek,o
weather station data at langar airfield,w
smart home,u
temperatur pressure and humidity in mayen germany,t
temperature with ds18b20 esp8266,t
my room temperature humidity,t
temperatur ofen,t
testing,u
trakian beach weather data,w
this channel is for iot practice,u
three ds18b20 sensors,t
broadcast studio air conditioning temp monitors for sensing issues with units using react and http plugins i can send alerts to engineering dept cellphones,t
temperature and humidity in the apartment,t
ttn lorawan gateway frightanic one,u
weather in sever do vouga portugal,w
weather in pombal portugal,w
weather in benavente portugal,w
weather in reguengos de monsaraz portugal,w
weather in fronteira portugal,w
weather in portalegre portugal,w
weather in torres vedras portugal,w
weather in aguiar portugal,w
weather in montargil portugal,w
filtering out data,u
around,u
measure 4 x strom volt auf 3 phasen,e
radiation and weather louisa va,w
humidity and temperature monitoring over 24 hour period,t
wsth itb rack office,u
auto watering project prototype phase,o
in ampere,e
first try to get some data from the sensor,u
well this is a testing channel,u
dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,t
home temperature humidity and lipo voltage by esp8266,t
monitor rssi signal level of iot device,o
solar pv mains import export and hot water diversion power values,o
photovoltaik powered nodemcu with lipo buffer reading a bme280 bh1750 and a sds011 pm sensor,t
first project,u
datalogger based on arduino with 434mhz radio and bme280 sensor supplied by 3 6v battery for the transmitter and arduino and raspberry with python program for receiver,u
to plot the data 10min,u
its a best place where anyone can have future career where they can do what they want in the field of iot,u
test wemos dht11,t
wemos d1 mini and dht22 and oled shield in potting shed,t
a hotbed somewhere in southern germany,u
to monitor any analog sensor value,o
sensors in hive 1,o
raspberry pi zero w ds18b20 bh1750fvi sensors monitoring aquarium water temperature and lighting,t
contain relay state,o
outdoor pool temperature data fed from raspberry pi zero w with dsxxxxx waterproof sensor alexa skill also picks up latest temperature to provide a verbal response to what is the temperature in my pool,t
unparallel innovation weather station power consumption,e
unparallel innovation weather station,w
data shows the measurement of distance between sensor hc sr04 and object and data transmitting on 2g network via module sim900a on prepaid sim controlled by arduino uno r3,o
matlab analysis to compute dew point,o
temperature and status data of my hot tub https github com olivierhill spaduino,t
measuring dew point,o
data from air quality sensors connected to a weatherduino pro2 plus system by werk_ag,o
test showing the temperature and airpressure in my shag,t
to monitor temperature and humidity of the place for mushroom,t
the temperature of the garage,t
monitoring of water consumption for residences of social interest,o
dht22 humidity and temperature sensor wemos d1 mini pro,t
measuring of co2 concentration relative humidity temperature and atmospheric pressure,t
temperature of the freezers in the garage,t
vegtronix vh400 sending data through a solar battery powered xbee dry soil triggers my drip irrigation system powered by opensprinkler,e
aquarium survey and automation system for aquarium,o
beehive from b107,o
temperature and humidity in various locations in my house,t
altecsharedsrv,u
solar powered wireless temperature humidity sensor,t
relative humidity and c temperature,t
mini weather station v2 bmp280 si7021 ds18b20 sensors with esp8266 nodemcu kharkiv ukraine,w
office climate control system,o
esp8266 nodemcu lua 1 0 with dht11 22,t
imexpharm tphcm,u
esp8266 nodemcu lua 1 0 with dht11 22,t
my own device based on esp8266 sensor for temp humm and pressure is bme280 second sensor is mh z19 for co2 concentration device located at office or home moscow russia,t
ads1115 esp 01 1m ota updated based on https goo gl ah8y3w sketch adapted to my 30a ct and 6v transformer esp is powered from a separate 3 3v source,o
charts various system data including weather light level and power usage,w
temp humidity using dht11 raspberry pi,t
watching my garage humidity and temperature to keep a look on my bikes,t
interior high and low temps for the day,t
temperature humidity sensor running a pyth script,t
measurement of room temperature humidity and door open status,t
address zhenli ave hedong tianjin china,o
real time weather conditions and records,w
temperatur of my room,t
data from thingspeak channel 12397 weather station following tutorial at https www mathworks com help thingspeak collect data in a new channel html,w
logging temperature from a photon mounted to the wall right behind the stove,t
boiler status and temperatures,t
a hot water recirculation pump controller with self learning from the user pattern using a esp32 board based on a statistic data model,o
as measured by esp8266,u
well pump house,u
testing how ts works,u
via smartthings,u
this is about how led and sensor is connected to raspberry pi,u
power meter in private house with photovoltaic plant 3 75kw,e
nodemcu weather station,w
this channel is used to monitoring movements in a specific area the movements are registered by a passive ir detector and processed by an arduino nano and transmitted by a,o
dht22 temperature humidity sensor driven by a raspberry pi 3b running a python script,t
iot for fun with blynk padawan,o
attiny85 dht22 rf transmitter using watchdog sleep 4 8 a powered down battery voltage measurement uses readvcc uno as rf receiver using enc28j60 ethernet,e
noise in our office,o
esp8266 wifi module bme280 pressure temperature and humidity sensor,t
1 wire greger a raspberry pi 2 running raspbian,o
a weatherduino pro2 air quality monitor station located in canberra,w
howto,u
to connect wifi module,u
central air heating duct temperature this is the output vent in the living space,t
weather station,w
thing speak test,u
network monitor,o
measuring temperature of sealing cavity living room and hot water cylinder,t
a temperature sensor is connected,t
connect thing to raspi,u
air quality station from lorathens network peristeri,o
humidity and temperature,t
office temperature,t
temperatures of outdoor and pipe coil temp of hp for defrost cheating,t
wayne living room temp and humidity,t
to measure the performance of the solar panel by analyzing the voltage current temperature and power,e
weather station data 15 minute intervals,w
my home temperature and humidity sensor based on esp 01 and dht22 using example found here on thing speak,t
daily water leveling reading,o
qwerty,u
4f nb iot hlr 2,u
sensors real time,u
raspberrypi cpu and memory usage,o
just the ordinary flower pot,o
reading p1 port of my electrical power monitor with a netduino running net micro,e
garage temperature and humidity,t
iot workshop,u
some weather sensors near daxstein,w
temperature inside and outside the house,t
esp8266 with ow sensor net,u
lg5 demo room with arduino yun,u
indoor and outdoor temperature humidity and air pressure readings at ingle farm south australia,t
lab temperature and humidity record,t
5 minute median creek level from sensor 1,o
read temperature and humidity of the environment,t
temperature in basement workroom at the shore,t
office temperature inside and outside,t
260w micro island solar system live data,o
bee supervision in development,o
dht22 readings in sc190a,t
measure ac temperatures to monitor duty cycle and health of the system monitoring the vent outlet random room temperature and the garage temperature near the air handler,e
wifi clock,o
various monitors on a backyard aquaponics system,o
programs based on sensor and motor board compiled by adruino,o
temp humidity using dht11 raspberry pi,t
solar thermosiphon installed graphs show the temperature of 240l solar tank,o
temp humidity measured by an esp8266 on a nodemcu lua board using a dht22 sensor,o
pharmacy temperatures,t
uses d1 mini with configuration data stored in rtc memory data updates every 10 minutes data also appears on https aprs fi w4krl 15,u
posting to twitter providing json frame and posting to thingspeak channel here,u
monitors a medical freezer model eppendorf cryocube f570 80c,t
real data of waste level in vit,o
sf barobusting,u
for keeping a count of spares in industry and a program for updation,u
ricks ph,u
testing with tmp for my peltier,t
home temperature,t
speedtest on raspberry pi 3,o
to check temperature in room,t
it is a temp sensing,t
measurement of temperature and,t
yes this is my channel,u
temperature humidity and airpressure in my garden house lystrup denmark,t
the purpose of this channel is totally related to internet of things with the help of this platform where we learn new things related to iot,u
attic temperature and humidity using esp8266 and dh22 pc vbscript thingspeak,t
weather in fundao portugal,w
weather in arganil portugal,w
weather in caldas da rainha portugal,w
weather in coimbra portugal,w
weather in figueira da foz portugal,w
weather in santarem portugal,w
weather in fatima portugal,w
test weather station temp rain wind,w
monitors the energy consumption of an appliance,e
temp and humidity logger,t
show ds18b20 c h network,t
aquarium controller monitoring based on a nodemcu 1 0,o
monitoring my fridge,t
arduino based iot recording hygrothermograph with 2 bme280 sensors used for monitoring conditions of grafted tomatoes,o
this channel cuantifies the water volume,o
data from temprature sensors around house and garden,t
co2 level and temp inside 618 room at lviv1,t
record of temperature in crr college,t
provides a feed from a currentcost electricity monitor also includes the inside temperature,e
spencer symes final year project hmi,u
team members harish avinash prasad lokesh bharat,u
arduino based aquarium computer by redeque nl,o
home power usage from hemv1 devices,e
temp and humid,t
display prototype,u
application logs and records a residence or rental properties use of water and presents a graphic visualization of current water flow and month to date total use available to view on a mobile phone or computer,o
testing and testing,u
testchannel for programming analyses,u
ground source heat pump,o
esp8266 wemos d1 mini dfrobot weatherproof ultrasonic sensor sen0208,
ldr is photo resistor,o
run times for ac,u
tomsk cardio net in tomsk city russia,u
7 temp values from 2 different weather stations are uploaded with curl every 10 min,w
cabin monitoring with arduino and zte mf275r internet hub,u
internal sm1131 th06,t
collected by an arduino,u
matic hren,u
temperature vcc with ds18b20 nodemcu,t
at nakhon si thamarat technical collage,u
see above,u
taking the data from the lm35 sensor and sending it to the database of thingspeak,t
solar hot water heater data,o
temperature in the office in gertrudsvik,t
test of esp8266 dev board,u
testing wasp,u
pool input temp sensor,t
app displays my current water use liters per minute and the overall accumulated amount of used water,o
temperature humidity atmospheric pressure in london e14,t
sense humidity temperature,t
wheather station in bulgaria,w
tracking temperature and humidity from my raspberry pi,t
rad monitor in bamberg germany bayern,o
monitor air pressure at powerblanket,o
this is live electricity usage generated data from my home,e
digiware air quality index monitoring,o
monitor the freezer,t
conditions in greenhouse,o
sending data from rasp 3 to thingspeak,u
measure wi fi signal levels with the esp8266 and thingspeak,o
channel for measuring temperature of a water tank,t
motion room,o
heloworld,u
outdoor temperature sensor using wemos d1 mini pro,t
hillsdaletempbot provide temperature and related infos in real time in the city of hillsdale new jersey usa powered by smartytempy a smartywiot solution wanna be an ambassador in your district wanna use our open data contact us,t
temperatur humidity sensor,t
lora world,u
data relating to the dry air cooler air sourced heat,o
this is a description,u
esp8266 nodemcu lua 1 0 with dht11 22,t
cmoney,u
temperature and humidity control,t
a small weather station project using the iot,w
humidity temperature cigar box iotsense,t
measure my house temp and humity,t
weather conditions in hamburg,w
microgreen system sump tank and air temperature,o
temperature and state of the pool solar controller,t
temperature of the water coming out of the pool heater whether it on or off,t
temperature and humidity monitor,t
temperature humidity light level and door status in my garage,t
stores temperature,t
cc exp 9 iot temperature readings,t
forest fire detection using nodemcu with iot,o
stores temperature sensor reading,t
stores temperature sensor readings,t
temperature and humidity sampling,t
this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,o
collection of readings from different sensors,u
this graph will show how much water is loged,o
channel for arduino yun in basement,u
weather station,w
using chirp a capacitive humidity sensing with esp8266 for my potted plants,o
6 x 290w pv panels in string outputting about 220v dc through msw inverter in to hot water cylinder 2kw,e
creating a sensor,u
a domestic residence in kallangur brisbane,u
data presented here is from an weatherduino air quality monitor development system,w
thermistor based temperature sensor,t
transmitting temperature to thingspeak,t
testing,u
prototype platform for self powered sensing station,u
gather data from 3 sensors and display it,u
recreational vehicle,u
iot workshop,u
hey hi,u
stores temperature sensor reading,t
kpis of my pv system,e
weather in odemira portugal,w
weather in serpa portugal,w
weather in m rtola portugal,w
weather in castro verde portugal,w
weather in tavira portugal,w
weather in almod var portugal,w
weather in faro portugal,w
weather in aljezur portugal,w
weather in lagos portugal,w
water level temperature and humidity,o
humidity adsorption,o
moschato,u
monitors rssi of 2 routers,o
decagon 2d sonic anemometer to measure wind direction wind speed and gust for golf app applications,o
data from my home,u
to learn iot,u
create a channel as part of iot training 11 sept 2018,u
pm 10 2 5 sensor not certified treat it approximate educational purpose,u
temperature and pressure sensor connected to a pi zero,t
nbn internet connection fttn currently in pakenham on a 100 speed tier speedtest runs automatically on pfsense firewall and uploading results to thingspeak a few times a day,o
bat watchers,o
the beta version of our aquahive is measuring the following parameter and uploads them to the cloud,o
backupheater for greenhouses,o
weatherstation with arduino controller of dennis,w
monitoring a raspberrypi controlling an aquaponics setup,o
diy home kit based on esp32,u
temperature and humidity with dht22 and rasppi3 in hamburg germany,t
temperature and humidity of the room,t
weather station,w
monitor sump water level takes reading every 15 seconds,o
testing version of weather station the data comes from a weather station i designed and built it is still in development both hardware and software so some gaps erroneous readings are expected,w
temperature logging with multiple raspberry pi,t
home meteo station,u
outside temp monitoring,t
shows temperature inside outside basement attic and also shows mains electricity ac voltage measurements data updates every minute,t
2np bathroom,u
1np hall bathroom 1np 102 103,u
system for analysing air condition designed specifically for nursery schools and disabled people,o
previous revision saved sensor named as 2np hall and stored in thingspeak as 2np 2ndroom continuing data stream bad allocation,u
temp check via raspberry pi,t
temperature from adafruit huzzah esp8266 using sparkfun tmp102,t
updated hourly ideal hive temp is 33 37 but reported temp appears consistently 5deg below this expected range,t
track temperatures and status from home automation,t
humidity and temperature monitoring over 30 day period,t
the environmental readings from socially rented accommodation by renfrewshire council,o
solar gas heating near sofia,o
module reported data from dht 11 and powered by battery,t
monitors radioactivity,o
arduino meteo czech republic weather station homemade,w
using a sodaq explorer connected to the things network then mqtt via nodered into thingspeak,u
temperature humidity barometric pressure and tank water level at vincentia nsw,t
checking how the automower 305 is receiving charge,o
a channel that we can store our data of nodemcu that connect to gps neo6m,u
monitor temperature and humidityliving,t
esp8266 house monitor,u
test data to send to the server from esp32,u
this will show the temp and humidity in the mining room,t
to find the distance,u
ultrasonic waves,o
monitor garage state information,o
weather in chaves portugal,w
weather in povoa de varzim portugal,w
weather in sam es portugal,w
weather in vila real portugal,w
weather in refojos de basto portugal,w
weather in areosa portugal,w
weather in braga portugal,w
temperature logs from my home,t
controller and radio rx from arduino_duty_cycle_measurement_v12,o
cycle test hybrid heater,o
to monitor any analogue sensor value,o
absolute humidity computation helper channel,o
ambient and water temperatures light and ph to follow,t
it receives bpm data from a bbc micro bit and sends it to the cloud,u
monitoring raspberry pi on my home rpi handles my smart home via openhab,u
sensors connected through esp8266 module,u
sense door position and close,o
light and temperature data from nodemcu8266,t
mundo weather station,w
air temperature in the greenhouse,t
digital temperature and humidity sensor barometric sensor water level sensor pressure sensor win speed and win direction,t
fermentation tank temperature monitoring and control,t
sonde 18s20 bas ballon,o
weather data collected at kingaroy queensland australia,w
this channel shows the data generated by a homemade solar heating control system,e
this is a test,u
weather station using dht22 and air quality using mq135 sensor with an arduino mega board powered by simone cecchetti mr watt s r l,w
a2 longford,u
pal server outside temp and humidity,t
temperature and humidity measured with esp01 dht11,t
history of internet,o
temperature sensors in the greenhouse,t
wi fi rssi level with esp8266,o
smart monitoring systemto monitor temperature humidity and light intensity,t
living room temperature control,t
get the ambient temperature and humidity data,t
readings from the apds9930 ambient light sensor and lm 35 temperature sensor,t
1 my server hmip online,u
sensors that measure the moisture in the soil,o
text,u
data collection of background radiation count dose temperature humidity atmospheric pressure,t
test system for temperature monitoring against the depth of fuel in the ch oil tank measured ultrasonically 9cm full 120cm 1200l consumed,t
esp8266 nodemcu 12e with bme280,t
current voltage measurement from ina219,e
it detect the air pollution in the air,o
air quality station from lorathens network ilion,o
ach_temp humid room2,t
monitor the fridge temperatures testing stage,t
this channel captures the moisture levels of up to two sensors,o
migneco house,u
temperature humidity sensor sht15 of sensirion,t
location nearby royal flora chiang mai around 2500m,u
dht11 temp humidity stream from humidor,t
detect the temperature,t
mini weather station v2 bme280 si7021 ds18b20 ssd1306 pir kharkiv ukraine,w
available water supply,o
esp8266 thing measuring indoor temperature and humidity on my cottage,t
29 pleasant st outdoor sensor,u
household electricity consumption,e
temperature and humidity sensor,t
iot workshop,u
iot workshop,u
dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,t
