user,disc,channel_id,label
bamboe32,weather in guarda portugal,357033,w
bamboe32,weather in vagos portugal,357030,w
bamboe32,weather in viseu portugal,357031,w
ashtontate,co2 humidity and temperature in my home,173590,t
rickeybell,sensors outside of conference room,289922,u
a0823331713,monitoring of ions using smart ions,231245,u
caisassi,weather nodemcu and sensors,437350,w
yurik72,weather1,574022,w
janneh,soil humidity measurements,226227,o
kaebmoo,sensing and control,470917,o
mrjbening,sump pump water level,319735,o
ashish29ashok,we can check our solar pannel battery real time status,555750,e
zliudr,this data stream is shared among all data loggers running my python code create your own data stream once you complete your test posting data here,359964,u
hloupis,air quality station from lorathens network,324870,o
majland,in an outhouse we have a wood pellet burner for central heating of the house combined with solar panels and a 500liter accumulation tank,76522,o
stoyanb,temperature measurement at home 3 arduino uno with ds18b20 sensors and nrf24l01 wireless modules and 1xarduino mega base with nrf24l01 wireless module 20x4 i2c lcd rtc ds3231 sd card datalogger,92291,t
tavomix66,this is my first ts channel it is going to be useful for cloud computing class,572148,u
alex9804,channel of test for the first example of access information from the terminal to thingspeak,572144,u
bhawdeep,iot workshop,573743,u
sagezee43,monitors temperature and motion around the house,573552,t
michalkuska,started at tue jan 17 2017 19 40,214635,u
laurensrinke,data from the aquaponics system at chloroplast stuttgart,240788,o
cityfert,southwest sydney fertility and ivf clinic,218185,u
dapw2000,potable water cistern levels,571498,o
om1amj,outdoor arduino geiger counter with sbm 20 tube located in pezinok slovakia,259246,o
sp6vwx,no central heated room,389089,t
hannon1000,uses arduino uno ethernet shield proto screw shield bme280 and am2315 sensors watchdog sleep code with modified metal tiki like torch as sleep red led on awake green led on indicator,227475,t
patelaavi2002,program based on sensor,571722,u
pkush1289,programs based on sensor and motor board compiled by adruino,571723,o
patelaavi2002,program based on sensor,571729,u
c90138,dht11 connected to a nodemcu esp8266,458280,t
tonvanw,measurements from s08 unit,2151,u
jhavens1566,using an esp8266 esp 01 module and an arduino pro mini 3 3v i wirelessly update all outputs from my thermostat to here for data analysis and because it cool,45244,t
lemonkey,temperature of pfsense firewall cpu in f,353033,t
doublephaeton,collect temperature from photon,226057,t
rasikaghadge,this is the example of humidity sensor using dh11,570450,o
sanjanasanju1,iot test,570452,u
dave130,a garden weather station with temp hum rain pressure and light sensors,480458,w
irishrockr,channel to monitor environmental conditions of my apartment channel is supplied data via an esp8266 wifi module which has a bme280 sensor connected to it these are powered from a usb wall socket outlet for minimal setup installation,265954,y
lioneliot2018,test temperature home home outdoor,198230,y
ralf1963,return water from solar hot water collector on roof giving indication of daily maximum temperature and amount of hot water produced,349844,o
iotgreenhouse00,temperature and humidity monitoring system for greenhouse,565183,t
jamarena,total time s spent for rendering within last 5 minutes,345973,o
vbunjin,meteo data read from personal weather station ws1080,216443,w
lucianhalmes,1np_room_103 conference room,569721,u
mokjpn,environment of my fish tank,279159,o
timkrueger,temperatur auf link more information klicken,288402,t
mrfixit1969,soil moisture for plants stored over winter in basement,402153,o
montreuilsurmer,shared data at montreuil sur mer,519304,u
abehtikov,temperature log of solar thermal collector,61471,t
divyansh243,in this project we will monitor a person heart beat and body temperature,571555,t
cullenmq1,radmon geiger counter set up to trigger a warning when radiation gets above a threshold value also displays temperature pressure and humidity data,500250,o
dirkvdl16,temperature data for simply garlic cold rooms,214374,t
paulcatchpole,data from arduino on board nbinstigator,214378,u
kedian51,a test channel for paring project,572350,u
alcidemoon,weather station,404410,w
thingspeak31,weerstation diamant,404417,w
camper43,arduino atmega 328 dht22 shed link to esp 12e wifi,277740,t
aly2005,dht11 remote station external humidity and temperature logging,293495,t
jamespime99,the very first,570604,u
squidling,weather at westmoreland park south portland or,431572,w
almarina,home weather station,494995,w
cloudscout,nodemcu with bme280 in black box,422121,t
dritzack,temperatures in fermentation,233168,t
bamboe32,weather in lisbon portugal,357018,w
bamboe32,weather in peniche portugal,357019,w
baranabananas,power generation and usage,368201,e
laurent.chivot,pv production issy,9001,u
misterneil,temperature and humidity sensor 1,395171,t
chatkup,test sent temp to thingspeak,571232,t
razgulin,moisture levels of work plants,427373,o
petrporeg,temperature with ds18b20 esp8266,412240,t
tsirogk21,case study raspberry pi2 sr 04,17897,u
cesarsan7,channel test class cloud computing,572162,u
nyctoxysm,weather station,573578,w
sareeshs,waterlevelmonitor,103636,o
pa3cqe,arduino mega control and uploading values to thingsspeak and domoticz at the same time with esp8266,217707,u
karenbobiv,is the pool heat on or off,8086,o
prasenjit94,temperature and humidity sensing with nodemcu and dht11,563560,t
andriyhz,ternopil real time outdoor air quality monitor point 2,462442,t
ianbren,power usage of pump,494692,e
irlpaulmc,hot water at top of tank at home,12674,o
delfuego,test feed running on a wemos d1 mini esp8266 variant with a dht22 for room temp humidity data and a ds18b20 for the tank temperature,104574,t
abinayamu,monitors temp humidity rain value pressure light intensity,570568,t
dekoning,temperature office humidity office,250220,t
mariamaria2009,temperature and humidity display,81029,t
rahulbedi2002,air quality index for whitefield bangalore,428851,o
werkag,weatherduino pro2 plus air quality monitor,317451,w
archytasreturns,v1 channel to test data from photon module till static ip and application i sready,395092,o
prasadmopuri,to detect ph value of a solution,573662,o
astander,wibre wireless speed,251310,o
human47321,ttn network heartbeat,137976,o
iobadger,keep track of my solar energy harvesting usage and batteries,296223,e
abivaish,air quality monitoring,563777,o
vanh1200,nothing is impossible,373357,u
woinova,th 011,310426,u
woinova,th 010,310427,u
woinova,th 008,310422,u
shashi04,monitoring the temperate using lm29,573949,t
sendal,vremea de pe yuhuu weather,279822,w
hfccoge,gets analog value from an ldr attached to the led of a relais and monitors critical temperatures,383180,t
kontogiannisdim,main fridge in butchery,322882,t
lindsaytrott,hive monitoring system consisting of a hx711 weigh sensor a htu21d for sensing temperature and humidity inside the hive and a ds18b20 for sensing the temperature of the stress sensor for making temperature dependent corrections to the weight data,287662,t
dharanikrishnans,iot workshop,572336,u
byomkesh,my home data light temp humidity using witty dht11 and relay board,111855,t
prunonen,this is for testing,215043,u
pwdandekar,this channel records vehicle electrical and mechanical parameters,392459,e
ashama786,to mseaurement the temperature and humidity,572287,t
bamboe32,weather in alcoutim portugal,357072,w
bamboe32,weather in salir portugal,357071,w
bamboe32,weather in serta portugal,357076,w
bamboe32,weather in castelo branco portugal,357077,w
bamboe32,weather in mogadouro portugal,357074,w
bamboe32,weather in vila nova de foz c a portugal,357075,w
bamboe32,weather in alpalh o portugal,357078,w
bamboe32,weather in bemposta portugal,357079,w
blazer34i,esp8266 with a ds18b20 temperature sensor mounted in the hvac plenum right above the air handler,21685,t
echemist,weather in slavutich,105545,w
reace88,the craftbeerpi temperature sensor logging for the brewery mikrobrauerei orler,514182,t
guscollins,knbw polymer loader 4 production data,123408,o
akhilmohandas,this is a new channel,570975,u
drhite,remote monitoring of solar array battery and auxiliary charger status,432856,e
pgri73,arduino mega and nano weather station dht22 bme280 tx23,223430,t
rberkelm,monitoring of spare hive,275029,o
vlost1,test of water flow reading system,516051,o
bertiejacobs,measure outside temp and water tank level,302159,t
glenn781,templeoftimefrogtank,310650,u
louieoc,weather in the upstairs room,300888,w
jparker7345,john workstation,47287,o
khanafsar,water level indicator,378770,o
avernois,temperature humidity on my terrace using orvet,217762,t
vesuri46,test av wemos,563547,u
srinix,made by civil engineering student 2015 2019 from srinix college of engineering,573898,u
eferragn,says which computers are used in our lab if sb is running an experiment detects motion gets temperature and humidity,430548,t
billvw,testing data from iq610 in shelton office,298159,o
razgulin,moisture levels of plants at work,233185,o
drummerian,the chicken coop,506511,u
whereswally,ants server room,358478,u
daturach,the video not mine explains the settings of a similar system i am using for more info go to http openenergymonitor org emon,45572,e
bryan.wright,measurement of the outside temperature at my house in victoria park western australia,138201,t
nyemba,sensor data to the cloud,562398,u
epamsergey,measure co2 and temp,387164,t
hiwebhq,home energy meters pharm and todd,200675,e
saikiranmpr,monitors energy consumption,572487,e
darrylp1per,celcius percent millibar of shaftesbury dorset uk,484395,w
ishan111,onsite weight transmission,570414,o
pconner0095,reads dht11 temperature humidity sensor,118399,t
kishorekdl,real time gpsw finding,573684,o
moosa120427,heart beat monitoring over internet using arduino and thingspeak,573687,o
chrismoran,combined sensor array 1,573689,u
ccaswell,bc robotics weather station,18235,w
prashantmnnit10,for learning purpose i just want to see how we can upload data to cloud and vice versa,568892,u
intelekiot001,monitoring system for temperature humidity and light intensity,453634,t
hoppyhop,some sensor data measured with bme280 and ds18b20 and sent once a minute using esp8266,291915,t
romigra,wind speed at flying field,278191,w
bamboe32,weather in albufeira portugal,357067,w
rsoft1,mini weather station v2 bmp280 si7021 ds18b20 sensors with esp8266 nodemcu kharkiv ukraine,196384,w
chrismoran,all the data from my pool,573702,o
siddharthaan,ssid and bus mac address,283407,o
ricardomt,temperature and humidity inside my charcuterie chamber parameters are controlled via a custom algorithm implemented in a rpi using python,334231,t
trudolphi,data from 2 soladin 600 solar converters of mastervolt which has to be updated every 20 seconds,50561,e
thang1009,the number show the productivity,571531,u
lcaalbuquerque,temperature and humidity data from office room cce416b,56197,t
leisurefree,weather station,253277,w
xand79,simple weather station for chernigov in debug mode,309002,w
elixf1,this is a dht22 connected to a particle photon and powered by a solar pad this is version 0 4,240260,t
swgriffin,environmental and systems monitoring at rochedale community garden,314137,o
workshopiot18,to measure the distance,571665,o
sudhki20,which measures distance using ultrasonic sensor,571664,o
gowtham5555,ultrasonic waves,571663,o
luretrix,the three of life,418260,u
bamboe32,weather in santiago do cac m portugal,357058,w
bamboe32,weather in aljustrel portugal,357059,w
bamboe32,weather in grandola portugal,357054,w
bamboe32,weather in vidigueira portugal,357056,w
bamboe32,weather in amareleja portugal,357057,w
bamboe32,weather in set bal portugal,357050,w
bamboe32,weather in vendas novas portugal,357051,w
bamboe32,weather in evora portugal,357052,w
bamboe32,weather in borba portugal,357053,w
parimalwadhai,count the weight,571276,u
victorvihtori,esp8266 and dht22 test,571274,t
asdasd789,geolocation test,571278,o
philipp1221,weather station project,520667,w
mccarleygreene,this channel displays flow measurements taken with a particle electron,512482,u
firefish999,monitoring and recording the status of my koi pond duplicated to a mysql db captured on a arduino mega and sent to a mysql db then scrapped to here by an esp8266 monitor,400862,o
moretrushna,dht11 connection with nodemcu,571893,t
tjorgen,parameters extracted from digital power meter,54127,e
datacyclist,temperature humidity airpressure wil sg ch,111130,t
afnanbashir,contains limits for the form,572127,u
fkroepfl,monitoring of environmental parameters of our house and garden in vienna,563529,o
rsoft1,low power version of lora mini mega328p sensor si7021 kharkiv ukraine,556976,u
sepilov,temperature humidity atm pressure light intensity uv index rain,424380,t
nclbioimaging,lsm800 sd room and incubator temps,448105,t
sensorla,nus l1 people counter,400004,u
timwheaton,water levels of four rainwater tanks at lindley,349793,o
iotadmin_tspk0,server room temp and humidity monitoring,556597,t
badu1967,lorawan testchannel,568355,u
dbush,a channel to report the status of my internet connection,148761,o
iotkotimaatta,esp wemos with oled display,325163,o
btckick,sensors installed outside and inside of the house,381812,o
lupita271197,humidity and temperature monitering,574143,t
cosmos12,skoltech_innovation_workshop_iot_group_3 perform an air quality analysis of a meeting room and predicting its readiness for the next meeting,569760,o
ecethesis001,displays the typing speed of the workers in characters minute,561597,o
shivshankar2020,aircare sensor at tower 18 prestige shantiniketan whitefield,569530,u
paradmat,temperature and humidity,313120,t
jkll1961,text,573494,u
nori7chan6,elecrow red bme280,477929,t
kyawhtin2221003,this is weather monitoring from utycc,562128,w
andra3003,testting for sonoff,572567,u
it9pwm,blitzortung temperature read from webpage,314115,t
swethapilli98,a channel to upload from lm 35 censor,571643,t
thenamanpat,temperature and humidity sensor of bedroom,571641,t
Pravishn,data from wifi,571251,u
jakste76,esp32 server collects data from outdoor and indoor sensors based on particle photons and esp8266 esp32 serves data in a html page and sends selected channels to thingspeak,516013,t
jester22018,temperature in the terrarium,415446,t
conasa,monitors a 80c thermo scientific medical freezer,108768,t
mike79,water jacket boiler temperature via electric imp,400803,t
rcalderon,envision power monitor,470470,e
akaduwel,albany hs co2 measurements,520794,o
rpwhite3,temp and humidity sensor project,447568,t
swilson28714,at new headend site,28796,u
ictill,homebrew weather station on arduino solar powered this is the power supply feed,343059,w
anthonyjclarke,based on paulrb code our bedroom,142888,u
gandalf8266,buffer temperature heating,460401,t
davidebeer,refrigerator showcase homebrew storage,503205,o
garylovesbeer,piggy backing on the work of nicholas wilde,22687,u
ianbren,monitoring of 88c temperature and humidity one fibaro one aeon,215503,t
robbesuk,current sampling on electric kiln provides a ignature curve for each firing enabling remote monitoring with minimal resources,221692,e
eroyuela,fire_forest_home_protec,348797,o
nurul005,real time visualization structured things,436271,u
peteh59,temperature humidity light level and barometric reading in my living room,3711,t
nclbioimaging,2 ds18b20 temp probes for monitoring room and incubator temperatures,310174,t
patila352,st vincent pallotti college of engineering and technology nagpur,572506,u
weatherstation67,esp8266 temprature sensor on ioannina greece,479588,t
mikkop,this is for student purposes made test channel,572994,u
cassioeng,petfood,573430,u
frmarti,dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,509692,t
pwntech002,motion new,480724,o
jking777,temperature and humidity from an sht30 sensor connected to a raspberry pi zero,265666,t
geerer,esp8266 with temp sensor and bmp180,210373,t
tangozulu32123,adafruit feather m0 winc1500 wifi,316431,o
eddyds,weather station in my garden micro climate build with wemos mini pro wifi and solar powered,264821,w
tangozulu32123,adafruit feather huzzah esp32 wifi,316433,u
sipkaistvan,you can get updated about what is going on in the greenhouse n 27,381872,o
paksoft_tspk8,monitor temperature of yogurt maker,566904,t
wimdemaes,weerstation via sigfox 2017,331396,w
onikroo,monitoring of temperatures,325552,t
ksliu7272,show weather data including temperature relative humidity and wind speed,505979,w
dennislwy,health monitor of pi at kiara residence,239899,o
rubimart,tinycontroll lk3 as2320,230624,u
jessenemmanuel,this is a description,573473,u
igoris,tritium decay long time experiment,225855,o
padoco54,5 rtc gps ok 32 cmd pmp on 64 acoustic tx ok 128 transmission fault,544591,o
minida28,pump controller based on arduino and esp link,63535,o
pfleming,pi in wash room,304023,u
amonera,first weather station,210162,w
achovol,sparkcore sending humidity light and temperature,14997,t
heisenberg594,testing esp,223047,u
rolpal,present data from daylight sensor as light pulses in ms and us and temp in degree c,109800,o
danrcottrell,water flow detection,500611,o
hemdanw,mathworks weather station west garage natick ma 01760 usa,12397,w
cyberkob,sk orchids fern plant monitoring,58886,o
fsteiper,first trial with thingspeak and pi3,317758,u
dafounder,wemos d1 mini lite read temperature and humidity from dht22,455498,t
pwdandekar,this channel receives 8 parameters pertaining to vehicle gps data,528835,o
theoracle1984,trying to connect arduino uno with esp8266,573908,u
rmckenzi,logging of temp and humidity in the kitchen fridge using esp8266 dht22,324546,t
snapperbourke,current weather readings and solar powered station battery voltage,234940,w
harmemy,temperature and humidity,561251,t
v6calibra,esp 8266 based heating controller equipped with forecast feature to compensate lag of the hydronic underfloor heating,446726,o
cbradio,wifi thermometer with esp8266 and dht12 bmp280,531929,t
za86za86,temperature sensor use wifi to update on thingspeak,570814,t
Melker,temp logging whit esp8266,19713,t
pterodaktil,data from weatherstation located in korolev moscow region taken with davis vantage pro 2,220095,w
keithbecvar01,3 devices measuring energy at home,161271,e
kiarozioiot,weather station using esp8266,491506,w
smartbin5,to count the waste thrown,551380,o
bramcloet,this datastream shows inside and outside temperature of my home and also the battery power and voltage of my solar powered home,344115,t
maacb123,ultrasonic waves,571662,o
hamk3hlt,weather station,559404,w
tobert,test channel for logging data to verify functionality,489304,u
francistaillieu,track output changes of my homecontrol openhab,57614,o
mg2371,use for home automation,572427,u
thamidi,this will be the first esp 8266 readout channel,240329,u
philippesimier,the connected beehive,539387,o
backyardbrewing,tracking temperature and humidity in the brewery,351913,t
janu5111,reading the updated temperature sensor values,570287,t
loewal,temperature and humidity,390191,t
takigikou,living room temperature humidity and atmospheric pressure in taipei taiwan,520163,t
saylur,home security and monitor in wilmington nc,336188,o
konradfk,measurement of road traffic in front of ont headquarters in krak w poland,438049,o
essalokesh,find temperature,571991,t
exocet5,higrometro y termometro via wifi,254993,t
jorick,keeps an eye on the air quality around our precious developers,83127,o
mrix33,iot workshop by platforuma,573735,u
mangalsanidhya,iotworkshop by platforuma,573733,u
raikararchita,iot workshop,573732,u
vikas2205,iot workshop,573738,u
wilkist1,sensor readings from the main bedroom sensor block,76402,u
clark249,home water cylinder temparature,569780,o
jimmyfergus,atmostpheric data using a d1 mini and bme280 sensor,572236,w
paperfriend,testing esp8266 weather station,267275,w
silkwormscauca,monitoring system for silkworms incubator,417167,o
hamsternz,bedroom temperature humidity monitored using an esp32 and a dht11 sensor,354869,t
levisurprise,ict task,573458,u
Palachinko,this one leg of the 220 vac feed to the submersible pump supplying our farm,526424,o
hgshepherd,logs data from bedroom heater control,339453,t
seb1337,time it takes to spend 1 watt,244322,e
kushjn1122,height of electrolyte,486819,o
tharanisneha13,itdepartmentsecyear,571606,u
selciya,selci is a very bad,571608,u
Brno,using esp12 and ds18b20 sensor powered from small solar panel 0 5w and li ion battery,143854,t
hankmofi,esp8266 201 thermometer,107523,t
jmwathen,connection of ac split core transformers to my washer and dryer with esp8266 and ads1115,167296,e
pasmie,sht30 sensor connected to wemos d1 mini platform with antenna low power,64938,t
avinashh,home status monitoring,226523,o
GengusKahn,esp8266 with i2c arduino slave and mq 2 mq 7 gas sensors with sht21 temp hum sensor posting via mobile 4g wifi,209159,t
dilshat,from iot module 8,282991,u
isornp,temperature humidity,261101,t
plantgroup,2 rain barrels and smart irrigation systems,285785,o
loxxxa,irrigation water level monitoring and temp humidity via dht11 sensor,353663,t
prakashsaldanha,second weather station based on nodemcu and dht22,147518,w
palmyweather,this data displays the air quality information gathered from the palmy weather website based in palmerston north new zealand http palmyweather co nz,339669,o
pps772,bme280 ds18b20 bh1750 dht11 esp 8266 ssd1306 attiny13a fs1000a,382621,t
cmummery,temp and vibration,340282,t
jo1hdv,sensors dht22 and adafruit bmp280 inside of the shed wireless connection esp8266 and arduino uno,319005,t
mike27140,autonomous temperature wifi sensor for my fish tank,26781,t
rodnewhampshire,lora iot home environmental monitoring system,303209,o
stevewalton,outside temperature humidity air pressure and light level,283643,t
tholman,internal sm1131 th06,399031,t
jcocciardi,temperature and humidity monitoring device 1,277463,t
sbkim92,temperature humidity monitoring channel,570831,t
mawrob,ockway bay tide measured using maxbotix ultrasonic range sensor particle electron,22641,o
jwosnick,temperature and humidity monitoring at home,28649,t
zwieratko1,weather condition in humenne slovakia measured by bme280 data sended by iot lpwan sigfox node uart modem 868mhz,373096,w
breakfreefr,wine stability temperature and extras,277647,t
fabion,mesure temperature and humidity,536369,t
bornok1985,reads from dth11 sensor and uploads every 30 seconds,75290,t
quentinjvr,receive change in data and send an email,570768,u
rberkelm,zolly hive data adjusted for humidity,572543,o
lukeskywalker63,home made station based on arduino nano dht22 and bmp180,467050,w
pvasired,monitors the temperature and humidity in the lab,542015,t
qbunjo,heating curve computed by the matlab gathering data online from sensors in the house,303596,o
agricultureiot_tspk3,updated every 15 minutes this is the first lora weather station installed in the felton valley with the assistance of cambooya landcare association this is a demonstration evaluation and educational project by queensland daf and dsiti,321341,w
msaishu,working on wifi module,571013,o
unclevlady,temperature pressure and humidity readings in moscow koptevo,293620,t
liudovyk,personal weather station,535102,w
caproni48,test arduino uno wifi analog read a0 and a1 dht22 for humidity and temperature,391599,t
estave,pig easy sow feeder 1,559889,o
rotwang_tspk5,solar power generation,390643,e
eibenoria,this clock is eibenoria wifi clock,271398,u
gennok,solar powered wifi weather station wemos d1 mini bme280,285318,w
shenriksson,esp8266 d1 mini with dallas ds18b20 temperature sensor,211935,t
bobver,chicken coop heater light and temperature controll,226671,t
bajo1305,lab temperature and humidity measurement,226675,t
a987456321,nodemcu with bmp180 and dht22,310731,t
jayman69,indoor and outdoor temperature plus outdoor humidity and tank level,518808,t
madcgroup,crop monitoring system,565766,o
thispi242,wemos d1 show temp humid for 7 days,526396,t
akshay0000,iot workshop,573718,u
nidhishjain30,iot workshop,573716,u
mangalsanidhya,iot workshop by platforuma,573715,u
phsorx_tspk9,prater bedroom tempaerature and humidity,443551,t
shilajit,a wemos d1 mini pro based weather station to measure ambient temperature humidity barometric pressure amount of rainfall,573711,w
oe1gca,arduino uno wiznet shield measuring temperature with kty10 6,394340,t
redhawk454,esp8266 with bme280,370464,t
snowycoder,things about my vm posted trough a bash script called every 10 minutes,412515,u
dorkygrin,tracer upload from esp8266,425842,o
sparc500,temperature humidity barometric pressure altitude sensor,165877,t
conasa,monitors a medical freezer at 80c,73451,t
conasa,monitors a medical freezer at 80c,73452,t
idesignstuff3,front porch shaded,322939,u
razzmatazzrr,monitoring temperature and humidity,546378,t
iaqyellow,iaq air quality test of live data to the channel feed,545681,o
ocasquero,faculty of engineering in bilbao university of the basque country upv ehu,546370,u
gjoci31,electricity meter,272991,e
choffee,dust in the space,505444,o
intelekiot009,this is to monitor temperature humidity and light intensity,464634,t
sstirley,heating,403842,o
avernois,temp and humidity in my humidor,211219,t
bthaase,data logger in the utility server closet at home,573947,u
chisholmtrail,a ds18b20 temp senor in my basement connected to an esp8266 01 running nodemcu,36102,t
mnouri,temperature humidity,270968,t
nyaikamba,heart beat project,566888,o
farid7666,contains projects in iot robot programming course,566885,o
balajikumar05,testing,571817,u
roboticgnomelab,this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,438239,o
mogaraghu,a generic data logger that is used to display the water level in overhead tank sump as a percentage,393750,o
evansr,esp8266 and ds18b20,271619,t
esmyder650,this is a rad mon geiger counter located at the cly institute for radio research directly west of 3 mile island,245463,o
durkvell1,measure temperature and air humidity in and around my house,216920,t
evansr,temperatures at a cabin in willow canyon catalina mountains near tucson arizona readings are taken outside inside and in the crawl space under the cabin,52827,t
brothauge,temprature humidity and heat index data logger,291412,t
jcgtrace,solar water heating system direct coupled separate vac tube array connected to a well insulted 150 litre geyser using natural thermo siphon for heat transfer electric element backup is connected with timer set on from 18h00 to 20h00,267538,o
rhodeda,temp and humidity,398988,t
anusha0103,weather monitoring,570701,w
hgraefenstein,hg_testlora01,572563,u
srinix,created by srinix college of engg bls 7th semester 2015 2019,572568,u
rberkelm,monitoring hive temperature humidity and weight,233962,t
Nithendra99,project to monitor the weather,573600,w
ps08150815,showing the values of an more than 20 years old thermometer working with a z 80 cpu from zilog,218332,t
abdurrehman57,this channel is use for temp and humidity sensor,571035,t
prashantk2152,read temp by dht11,571154,t
dimassp2002,to measure the analog output from potentio sensor,571150,o
bobbasham,data from node in box on water center roof,257475,o
astrofraggle,temperature in the swindon makerspace,331332,t
larrylchu,tvoc measured by iaq core c,317053,o
ajaysonar,upload temperature and humidity,197636,t
jmazanec,thermometer ds18b20 simple light meter photoresistor and bh1750 for lux metering on balcony west side 2nd floor in shadow,211008,t
natalikupsik,this channel include data receiving from device,464861,u
utopiaplanitia,temperature of upper and lower compartments,14333,t
tanisdelta,analyzing data of weather factors in cultives,570280,w
anishaagra,iot workshop,573773,u
matthewlabuda,esp weather station,573774,w
rupanzleeugune07,for working,572822,u
umarbiliyaminu,change temperature from celsius to farenheit automatically,471028,t
redbeard28,humidity and temp from oregon and fibaro daaf,299567,t
redhawk454,inter exterior temperature conditions,225615,t
jerryt74332,weather master_br node,347060,w
sensorla,nus l5 people counter,430934,o
sensorla,nus l3 people counter,430931,o
alleebell,temperature humidity,504157,t
hessch,experimental outdoor geiger counter with 20 tube,256401,o
m2shimiz,temperature humidity and pressure in dresden klotzsche germany from bosch bme280 sensor,248788,t
ramanraja,room occupancy status,530530,o
bluddenweather,weatherstation based on wemos d1 mini and bme280,413628,w
jacek53k,tmp,19920,t
kobusm_tspk3,temperature humidity,16207,t
navatar,wifi signal strength temperature humidity itb home,353968,t
mifulapirus,do you want to know how many times you have squished your connected gato,270766,o
baennjer,outside temperature homematic differential sensor preassure humidity bme280 hooked up to a wemos d1 mini windspeed meassured with an anemometer connected to a second wemos d1 mini all data is collected by a raspberry pi running iobroker the tran,435169,t
peteh59,temperature humidity light level and barometric reading in my office and outside the window,11467,t
drytech,dry walls within 200m2 protection against the return of rising damp it destroys removes mold the smell disappears,404300,u
thedavgar,know how to work with thingspeak,519907,u
aqistation,this data is from a weatherduino pro2 plus air quality monitor development module weather station is located in darra qld australia,328383,w
rstieb,raspberry pi temp monitoring of motorhome,549962,t
olipau12345,diy mcu coffee plant channel esp8266 dht22 vh400 tsl2561 bmp180 mqtt server test mosquitto org wildcard subscription sensors op 477895 twitter https twitter com mrcoffeeplant,68785,o
charleycatz,temperature humidity test,172866,t
ashkhamas,smartthings integration thingspeak monitoring all smart switches kw,175383,u
urevolegg,homemade weatherstation,290781,w
lylestoll,test input from multiple sources,64415,u
gossamer,nodemcu with 4 ds18b20 temperature probes i will eventually move the probes over to the furnace and hot water heater etc when i get a more permanent enclosure for it,233302,t
sacmohan,co2 temperature humidity air pressure,437935,t
ast0815,my thermometer experiment,216948,t
volta97199,oder turn turbine rotation navigator,477889,o
tpetchy,second ieee weather station,197184,w
hydroalert,water level from hydroalert device at lakewood drive at bull creek crossing,276000,o
patcher,power supply watch,265321,e
niyas786,sketch_sep09a_monitoring_door_opening_energy_use,572504,e
paulbocad,all in one,571652,u
ecaprovn1234,family medical tphcm,403568,u
kolia,temperature humidity heat index,103920,t
softis,sky quality meter at taursa observatory,306491,o
billdonlon,this board measures the temperature light intensity,332923,t
arivu1983,display of industrial safety and hazard parameters,572580,o
tedhale,raspi 06 firewall,65960,u
sadasing,computed data from 01d25ff,422758,u
allanayr,temperature from current cost via hah,215639,t
hloupis,air quality station from lorathens network national rd dafni,326536,o
krithikaraja,if temperature is above 20 degree need to get mail,571582,t
kavitha126,temperature is cool,571583,t
ishita2512,iot workshop,573740,u
kulkarni30,reading of temp sensor,571053,t
pankajsharmaj,to receive the donate easy parameters,568725,u
nithiyavs285,testing purpose,571054,u
dtink13,send text from sim800a to thingspeak server,564701,o
polipkasdu1234,temp of room,278370,t
jtaylor267,this is data from a weatherduino proplus air quality monitor,328043,w
bamboe32,weather in sobreira portugal,357047,w
ziplock9000,a testbed for the technology used for a diy arduino based weather station in hebburn,569896,w
kashishgupta,iot workshop,573752,u
ayushinema,iot workshop,573750,u
koen77,weerstation in onze hobbykas,280097,w
divyachhabra14,iot workshop,573758,u
sv1bee,costal piko 10 1 basic plus some php code,256053,u
qbunjo,pomiar temperatury ds18b20,303448,t
szsolt1966,temperature humidity pressure monitoring,371130,t
samavia97,just for learning,572800,u
moiamushtaq,dance machine with programming,572804,o
shahone0311,my personal server,572805,u
arslana01,i am a software engineer,572806,u
mrtab101,to learn,572809,u
ik0adr,ik0adr thingspeak test,89050,u
jk0008,wc outside dht 01,111929,u
razvanelgsm,outdoor weather,217177,w
timshep,humidity and temperature monitoring over a week,413740,t
boneco,this channel displays the vocs and equivalent c02 in the air using various environmental sensors the values are currently updated every 10 minutes,354599,o
datfuzzy,temp humid of parts room,354776,t
woinova,th 007,310258,u
yshinza,by home,129357,u
alex51264,temperature and pressure,211259,t
redhawk454,daily high low temps heating vent,377674,t
eburman,humboldt county california,363319,u
ashbury,channel for extended fhm demonstrator 2,462321,u
thucar,sensor information from my top bar honey bee hive,325282,u
saylur,posting light and temperature data from my particle photon,451574,t
krzychosneer,my diy weather station data,418660,w
ericwebb,samplant humidity and temp north west corner,451412,t
rkochis,pressure readings from the main well pump,271656,o
gicheve,heating system,272873,u
msahar,esp32 thingspeak node red,498387,u
pasagame,pzem 004t and esp8266 energy monitor,429105,e
phd3255,weather station home,406203,w
nisone,arduino and esp for iot,570096,u
gturner30,temperature at lvl 2 of the gordon building,394446,t
earmaster,air quality sensor at visionsbox,490329,o
davidhelene,tele information,402184,o
ecaprovn1234,tphcm eca gpis4 4eth,510459,u
tkerby,outdoor temperature and humidity,139242,t
palserver,pal server room temp and humidity,552456,t
ssuffian,warrington,387189,u
tthosta,location germany bw,518150,u
