author,disc,channel_num,type,azure_keywords
waileong95,detect the temperature,569464,t,temperature
rsoft1,mini weather station v2 bme280 si7021 ds18b20 ssd1306 pir kharkiv ukraine,178434,w,mini weather station v2 bme280 si7021 ds18b20 ssd1306 pir kharkiv ukraine
thevickerridge,available water supply,511085,o,available water supply
ppet36,esp8266 thing measuring indoor temperature and humidity on my cottage,382438,t,humidity
fullspanllc,29 pleasant st outdoor sensor,469398,u,outdoor sensor
dipturn,household electricity consumption,177523,e,household electricity consumption
dinesh280444,temperature and humidity sensor,567985,t,temperature
nan98aug,iot workshop,573724,u,iot workshop
anishaagra,iot workshop,573722,u,iot workshop
hhssss,dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,541096,t,python script
asexauer,testing dht22 adn bmp280 with esp8266 12 and an 3 aaa eneloop 1 5 accu cells sample every 6 min voltagebatt is via internal adc systems is powerd with 3v using a low drop ht7330 regulator,223197,t,low drop ht7330 regulator
cabinauto,water closet temp,466718,t,water closet temp
philipp1221,home weather station,553845,w,home weather station
etunyogi,internal temp,448159,t,internal temp
woinova,th 009,310164,u,th
lokrayshre,trying out the wifi module,570758,u,wifi module
ecethesis001,smart indoor workplace based on human data analytics,551621,u,smart indoor workplace
bamboe32,weather in nazare portugal,357025,w,weather
rnmnw8r,background radiation milford mi 48380,220221,o,background radiation milford mi
lijinraj,ice devices on the internet,7894,u,ice devices
dlindval,data from poolpi and three ds18b20,362981,o,data
bamboe32,weather in leiria portugal,357021,w,weather
aprades,health parameters from my server,293897,o,health parameters
bamboe32,weather in tomar portugal,357022,w,weather
guanbo0327,weather station detects temperature humidity barometric pressure and incident light,122191,w,incident light
maizatul98,send a message through media social,572983,o,message
ijtvalencia,total kwh consumption and prediction,568105,e,total kwh consumption
locan2408,these datas are streamed from solar tracker system at central electric power college vietnam,387449,e,datas
felusch,temperature and humidity sensor,512049,t,temperature
intelekiot002,smart monitoring system for temperature humidity and light intensity,453641,t,smart monitoring system
ishan111,it will send the weight using iot,571185,o,weight
scfridingen,iot channel of sc fridingen,360449,u,iot channel of sc fridingen
podtatrami,a low cost open source weather station in zakopane poland bme280 raspberrypi esp8266,264743,w,zakopane poland bme280 raspberrypi esp8266
dr35lmdr,meteorological station temperature humidity and thermal sensation esp8266,574118,w,thermal sensation esp8266
pzsolt,home electricity usage,437738,e,home electricity usage
spectrum5337,live measure of the earths magnetic field large peeks indicate the chance of aurora,438056,o,chance of aurora
ryanlloydmiller,weather and related returning from imp,328867,w,weather
dellobake,will collect and send over garden vital data,574113,u,garden vital data
keithellis,channel for home made weather weather station powered by raspberry pi zero located in ipswich ip1 uk,226647,w,channel
willianschelles,sensor to gas and flamme,573467,o,sensor
mellenmb,2nd wifi weather sensor inside,507187,w,wifi weather sensor
nidhirajdev,iot workshop,573727,u,iot workshop
saloni2110,iot workshop,573725,u,iot workshop
anil286,iot workshop,573723,u,iot workshop
somesh777,iot workshop,573720,u,iot workshop
diksha32,iot workshop,573721,u,iot workshop
pughjsus,monitor my home pool temperature and air temperature,302861,t,home pool temperature
msengar6,iot workshop,573728,u,iot workshop
shivani2802garg,iot workshop,573729,u,iot workshop
patcher,mh_greenhouse_co_gasii,417174,u,mh
ecorbett,monitor the temp and humidity inside a guitar case,213795,t,humidity
user,disc,channel_id,label,disc
lemonkey,temperature of imac cpu in f,462511,t,temperature of imac cpu
richardo82,exp8266 ccs811 bme280 ir distance sensor michaelson interferometer vibration,48896,o,exp8266 ccs811 bme280 ir distance sensor michaelson interferometer vibration
aishvarya5,this fetches fitbit data and plot the calories data,572911,o,fetches fitbit data
sourav15100,arduino based project,561646,u,arduino
mletizia7794,shows if the huddle room is available or not,325308,o,huddle room
trjw,instantaneous performance data from my inverter,26390,e,instantaneous performance data
khongpt,switch room 311 temperature,531494,t,room
thingspeak1953,off grid solar wind system,424836,e,grid solar wind system
hornychz,data presented here are from my weatherduino pro2 meteo station aqm development system from cz brandys l,327199,w,data
dutchieholland,maintains the averages for each sensor,208557,u,averages
baurd,with alphasense opc n2,295702,u,alphasense opc n2
lemonkey,raspberry pi sense hat sensor readings from the shop,295708,u,shop
aawjik1,tracks your mood and sound,275503,o,mood
danee66,temp humidity and heat index from dht22 connected to esp8266,68281,t,dht22
vbandke,esp8266 01 base weather data transmitter,513058,w,base weather data transmitter
velaganaresh4d8,ultrasonic using iot,573916,o,iot
alaa5246,raspberry pi at work,573912,o,raspberry pi
raszowdom1,8xport temperatury,400521,t,xport temperatury
texx23,channel for visualization outdoor meteo data temperature humidity and air pressure in vut brno,432138,t,channel
hosam_eldin,server room monitoring,242145,o,server room
MelihKey,dht11 temp and humidity sensor at greenhouse,290739,t,humidity sensor
jachristensen,monitors for utility power outages and high water level in sump,879,e,utility power outages
codycushing,particle photon with environmental sensors,382189,w,particle photon
ilwckb252,sensor 120 box at trees water level,406292,o,trees water level
kahhu3,temperature humidity pressure,430289,t,temperature humidity pressure
serbannistor,dallas semiconductor ds18b20 temperature sensor attached to a adafruit huzzah esp8266 board to monitor the temperature in the storage room,87574,t,storage room
asilcock,temperature of lwp2 6th floor,334346,t,temperature of lwp2
francobollo,office 243 temperature,214793,t,office
ashishshukla78,helping plants get optimum air light temperature humidity and soil moisture using an array of micro controllers sensors actuators and wifi,92080,t,plants
qwaz1234,esp8266 micropython raspberry pi mosquitto mqttwarn,342872,o,esp8266 micropython raspberry pi mosquitto mqttwarn
docblock,this is a test case for the sensors,572085,o,sensors
hkuspace,from bmp180,408033,o,bmp180
artisans,we provide a community hub and have a network of volunteers working closely with our town and county councils local police and health board we provide regular weekly and also one off events for the community,391722,o,events
Madou1992,upload data from stm32 with esp2866,570779,o,upload data
x123123,sensor used pms7003,290432,o,sensor
djinnming,data storage for weather station and subsequent data prediction,557724,w,subsequent data prediction
barrow4491,weatherduino pro2 plus,408290,o,weatherduino pro2
estave,pig easy sow feeder 6,559895,o,easy sow feeder
estave,pig easy sow feeder 2,559891,o,easy sow feeder
estave,pig easy sow feeder 4,559893,o,easy sow feeder
thaumaturge,weather sensors run by pic16f628 microcontroller data read by rpi and uploaded using curl on linux updates every 20 min,331473,w,curl
jamarena,memory usage,344722,o,memory usage
aluiziorn,energy produced and battery charging data,233298,e,energy
lumirkus,meteorologic station in rumburk,209930,o,meteorologic station
chrismoran,temperature in the big display tank,573700,t,temperature
shruti2406,stores temperature sensors readings,573703,t,stores temperature sensors readings
srishti10,stores temperature sensor readings,573704,t,stores temperature sensor readings
akshar123,stores temperature sensor readings,573708,t,stores temperature sensor readings
tssiot,read temperature and humidity from dht22 on wemos d1 mini,359837,t,dht22
skybutterfly,sending data from raspberry to thingspeak,573442,o,data
dllcf2002,zalishchyky gimnasia meteostation based on esp8266 board,361732,u,esp8266 board
gun007,ch1 collect temperature and humidity data from adafruit feather esp8266 module,395910,t,adafruit feather esp8266 module
yhhuangntu,csbb thermal monitor from ds18b20 sensor,103703,t,ds18b20 sensor
tiquis,test weather channel,126817,w,test weather channel
thidiyas3d,with connectivity we thrive,570998,u,connectivity
huminsky92,inductive sensing,486791,o,inductive sensing
kuriosimperium,there is heat in se serverroom,314286,t,se serverroom
dalitton,electric imp connected to max31855 thermocouple amp from adafruit reading glass fusing kiln temperature,223016,t,glass
jameshudson09,temp of the spa,531129,t,temp
parksm69,temperature humidity dust of soonmin park living room,64611,t,room
naveenvaid,status location,572871,u,status location
dolfwolkov,test for thing speak,363528,o,test
koroito,myhouse east 2nd outside,342043,u,myhouse
tomascary,temperature in miner room,458862,t,temperature
sensors,dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,324453,t,python script
brianfordin,open or closed what is the temperature,167405,t,temperature
jackvandongen,digital smart meter readings every five minutes the dsm connected particle sends out a telegram regarding the actual kwh1 kwh2 and m3gas values,565015,t,digital smart meter readings
tmxmobile1,am2301 humidity and temperature sensor sonoff th16,470428,t,am2301 humidity
lindsaytrott,mckinley hive weight change in the last 10 minutes and the last 20 minutes,293304,o,mckinley hive weight change
honzabrecka,8 x 240w solar panels schutten and 2 kw direct dc water heater,10184,e,direct dc water heater
jleenhouts,temperatures in laundry room,293285,t,temperatures
roboticgnomelab,this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,438240,o,matlab script
spalky,collecting temp pressure humidity data,368739,t,temp pressure humidity data
pny,wireless temperature and humidity monitor located in link,4293,t,wireless temperature
pny,wireless temperature and humidity monitor located in link,4292,t,wireless temperature
w61235678,monitor temperature and humidity from my dry aged room,504578,t,dry aged room
nypsmartcampus,fish pond monitoring system,556183,o,fish pond monitoring system
rogfri,testing esp8266 with ds18b20 batterypower,214514,e,esp8266
peteh59,temperature humidity and light level in guest bedroom,277385,t,temperature humidity
nymare,collect and send all wifi data,327740,o,wifi data
griesu62,vaillant vrc 410 heating device monitoring,266302,t,heating device monitoring
sully503,remote temperature and humidity monitor data sent via wifi through a router to thing speak for interpolation operates 24 7 and allows temperature recording for applications needing logging capabilities,266928,t,applications
naren4141,to know the status of classroom power control,572575,e,status of classroom power control
amirulamzar,this is gas detector project,572570,o,gas detector project
kissada,test temp project research,524285,t,test temp project research
atharejaz,inventory,572578,o,inventory
HugoHavn,read temperature humidity and carbondioxide arduino nano and esp 01 is used,305516,t,temperature humidity
flash03,it begins finally,571484,u,
bioc0765,updated every 10 min,477411,u,
laurens1977,temperature and humidity in bielefeld,542001,t,temperature
kettle,a variety of sensors and arduinos nodemcu collecting data around my house,323408,o,data
ncchristen,thingspeak make channel for rpi with bme280 and pms7003,558324,o,rpi
alagupandi,to monitor any analog sensor value,571909,o,analog sensor value
ziltec01,photon and bmp280,265786,o,photon
davidbird,esp8266 and bme280 outside temperature humidity and pressure sensor,317063,o,temperature humidity
pesa11,foxtrot adatok,265788,u,foxtrot adatok
ppet36,energy monitoring for my cottage it based on esp8266 current transformer precision rectifier with opamp and mcp3421 18bit a d converter,157732,e,cottage
atbates,south ealing station,268261,u,south ealing station
herokun,some info about the isar river in munich like water level water flow and water temperature taken from http hnd bayern de and updated quarter hourly,310723,t,isar river
dango9999,esp8266 with ds18b20,62123,o,esp8266
natashaparwani24,iot workshop,573760,u,iot workshop
deepatidar1998,iot workshop,573766,u,iot workshop
adminit,stores temperature sensor reading,573764,t,stores temperature sensor
ok2sro,lancontroller tinny v2,50862,u,lancontroller tinny v2
matthimax,weather and water well conditions,282750,w,weather
joelgeri,thats mr edison to you,573425,u,thats mr edison
sensorla,nus l2 people counter,430923,u,nus l2 people
antonionav,esp8266 standalone with dht11,338373,o,esp8266 standalone
bianchirider,solar powered weather station in a bird house 15 minute sample rate,374687,w,solar powered weather station
starscreen,sensors dht22 and ds18b20 in our greenhouse air temperature humidity,103580,t,greenhouse air temperature humidity
jackbeanstock1,solar power weather station,262787,w,solar power weather station
jfmergen,geiger counter with counts min other sensors to be added counter is located in baltimore,425163,o,counts
richdonn,front room temprature,453108,t,room temprature
c4sius,weather station at office,161325,w,weather station
sunny7488,temperature and rh of rm1201,279899,t,temperature
tomgeorge,testing esp32 installation,527701,o,esp32 installation
tel1203,environmental measurement at ckp vislab office,298025,w,ckp vislab office
tuczap,shinyei ppd42 air quality sensor 1 3 temperature humidity sesnor 1 0,250150,t,temperature humidity sesnor
useless1001,another test with another account,244192,o,test
novanostron4,data collected from the lodge,203920,u,data
jessedc,tracking the solar system,445104,o,solar system
netprince,office sensors,438824,o,office sensors
slavrent,temperature and hummidity sensors from flat tukhachevskogo 25,99958,t,temperature
costinstroie,weather station powered by nodemcu sensors bme280 tsl2561,212922,w,weather station
bukhary,mini project for computer interfacing,572766,u,mini project
cedronics,all the work related to cedar and juniper,570529,u,cedar
nisone,raspberry,570523,u,raspberry
rushikesh117,temperature humidity,570527,t,temperature humidity
paramathma,for interfacing labview,573956,o,interfacing labview
cleeve7,weather station bishops cleeve gloucestershire uk,14664,w,weather station bishops cleeve gloucestershire uk
juzzie_tspk3,arduino based geiger counter w sbm 19 geiger tube and uv sensor,567582,o,geiger counter w sbm
whimmler,some outdoor infos,252414,w,outdoor infos
sreeraju12,my room temperature read from lm35 on arduino,572604,t,lm35
eldhose123,learning temperature to cloud,572605,t,temperature
bigjohnson,second ups statistics,125440,o,ups statistics
trackerj,nextempmon battery test,511534,e,nextempmon battery test
atxguitarist,temperature in chicken coop,295304,t,temperature
dammwj,records barometric pressure,233318,w,barometric pressure
preet9,weather from dht11,571800,w,weather
rosslagoy,temperature and humidity of asi ramm screen room,339764,t,temperature
rberkelm,soil moisture monitoring at jasmin and new citrus slopes,273991,o,soil moisture monitoring
pipzed,temperature humidity sensors esp8266 am2320 with a lipo charger under over voltage protection and 3 7v 780mah lipo battery,257611,t,voltage protection
simwill2,this is a test with nodemcu,242450,o,test
timmeh22,temperature and humidity sensor located in the living room,380399,t,living room
jankusy12345,teploty_metyl,245456,u,teploty
gzilly,local weather data in k nigsbach stein germany,435058,w,local weather data
monique28,iot workshop,573730,u,iot workshop
djorev,nodemcu esp8266 bme280 weather station,381761,w,nodemcu esp8266 bme280 weather station
baurd,with alphasense opc n2 running on alternator power,318099,e,alphasense opc n2
karthikeya05,automatic weather station,492754,w,automatic weather station
richardgreen1976,home weather station,256881,w,home weather station
rodkwate88,this is channel for agrihealth by kolatel,572594,u,channel
ecgecrajkot,sensor data from nodemcu is communicated to thingspeak,572593,o,sensor data
periloso,an lnd7317 tube has been connected through the theremino geiger sensor to an esp8266 tasmota firmware,382238,o,lnd7317 tube
pfleming,outside temp barometer and humidity,297264,t,temp barometer
mecuy62,weather station esp8266 bmp280 bme280 dht22,305396,w,weather station esp8266 bmp280 bme280 dht22
zitounesup1,aqi index computed from a wheatherduino station,338963,w,aqi index
sinux01,temperatures humidity and luminosity sensors,142129,t,temperatures humidity
andrew1976,count pulses from 3 sources and relay to server,573008,o,relay
dafounder,wemos d1 mini lite read temperature and humidity from dht22,556416,t,humidity
garlieb,radmon plus with bme680 sensor,400953,o,radmon
asadkhanak47,iot workshop,573745,u,iot workshop
komalsadhwani22,iot workshop,573747,u,iot workshop
kalpeshshah1008,this project is ment for temperature monitering on the live basis,570299,t,ment
jimmylamhk,my first weather station with 2 sensors,207105,w,weather station
deathkiller183,only temperature in celcius,572831,t,temperature
andriyhz,ternopil real time outdoor air quality monitor point 1,371428,o,ternopil real time outdoor air quality monitor point
terryephillips,weather station bought in spring of 2017 from karl berger,340865,w,weather station
pwk451,fan status 0 fan off 1 fan on,573409,o,fan status
pwk451,light status 0 light off 1 light on,573408,e,light status
albar2018,outdoor weather data rheinzabern germany,434228,w,outdoor weather data rheinzabern germany
polaraditia,show room sensing,439347,o,room
pwk451,device control 0 lighton 1 lightoff 2 fan on 3 fan off,573405,o,lighton
jmlgrant,from some raspberry pi with dht22,216541,u,raspberry pi
celiagarrido93,welcome to ecosense thingspeak channel,218708,o,ecosense thingspeak channel
daynagan,ict weather station,573461,w,weather station
seawoods,esp8266 bme280 lacrosse anemometer and rain gauges modified,127185,w,rain gauges
sfchan,monitor temperature humidity and heat index,145737,t,temperature humidity
saguntudu,audrino based heart beat monitoring system,571757,o,heart beat monitoring system
ahunter10_tspk4,wet monitor,12075,u,wet monitor
manhnn17,outer temperature real values humidity probably not good values of 2x dht22 bme280 for comparition of sensors output esp8266,358216,t,comparition of sensors
pfp8808,wireless outdoor thermometer esp8266 ds18b20,46888,t,wireless outdoor thermometer esp8266 ds18b20
auteres,let the force be,323613,u,force
maartenpennings,ens210 relative humidity and temperature sensor by ams,249563,t,ens210 relative humidity
aaloxian,recording current,301377,e,
odeliss,show temperature humidity and pressure collected in the birdnest,553486,t,temperature humidity
fullcapacity,capasitty is a solar powered wi fi ap and usb recharge station bundled in a concrete park bench,343355,o,capasitty
rahul1081987,training temperaturesensor,572627,t,training temperaturesensor
stephanellis,temp sensors in the freezer,482566,t,temp sensors
chahatagarwal,average pollution intensity obtained such as to obtain alternate path with help of this value,390753,o,value
kkevin5135,self regulating temperature controller for infant warmers,451542,t,self regulating temperature controller
patriciaweek6,this is for the monitoring system,569413,u,monitoring system
patriciaweek6,this is for the monitoring system,569411,u,monitoring system
mikekgr,elias channel that hold temperature and humidity measures,169516,t,elias channel
ruby1708,short film science engineering,571822,u,short film science engineering
xevjlfy1978,thermostabilised box,174156,t,thermostabilised box
peteh59,temperature humidity and light level in master bedroom,7724,t,temperature humidity
aluiziorn,energy produced and battery charging data,225747,e,energy
marwol18,this is a raspberry pi 2 and dht22 based dy room condition monitoring system,339746,o,raspberry pi
daltonrdo,santaclaratempbot provide temperature and related infos in real time in santa clara california usa silicon valley powered by smartytempy a smartywiot solution wanna be an ambassador in your district wanna use our open data contact us,341850,t,temperature
tangophi,data coming from sensors and relay states from ac wall sockets outfitted with microcontrollers and esp8266 modules,32932,e,microcontrollers
kuroken72,temperature humidity monitor,340328,t,temperature humidity monitor
mengtzu0627,teacher,570885,u,teacher
thill2630,monitoring water levels to help automate water storage tank 2 sensor being installed and site temp humidity,480876,o,sensor
pmfacse,healthcare,571489,u,healthcare
adamjennison111,i am building many sensors using nodemcu and lua trying to connect everything together,64519,o,lua
dim4576,testing 2,467085,u,
joeattapon,to monitor humidity temperature and lighting at home,62113,t,lighting
geovogel,davis weather station on the roof of 417 mandarin flyway,210071,w,davis weather station
geovogel,power meter at 417 mandarin flyway,210077,e,power meter
Sander_826,temperature and humidity levels,98163,t,temperature
mavmav7757,for home use,404102,u,home use
murali18,to check the water level in dam,571590,o,water level
slingmaster,smart home,135846,u,smart home
sujay143,mathwork,571108,u,mathwork
intelekiot006,smart monitoring system for temperature humidity and light sensor,455671,t,smart monitoring system
akki2574,monitoring temperature using lm35 sensor,570312,t,temperature
powerware,rds110 thermostat,211038,t,rds110 thermostat
wsnmandi,data from node 2 located inside a1 office room,290092,u,a1 office room
nobo37,solar powered weather station esp32 running micropython,534753,w,solar powered weather station esp32
kerimc14,chcs project 6 axis data logging,570279,o,axis data logging
mifulapirus,do you want to know how many times you have squished your connected gato,270831,o,connected gato
ppet36,diy multi zone regulation in my house based on arduino dallas onewire bus and thermoelectric valves,83994,t,thermoelectric valves
zeeshan1996,practice work for iot lab,572819,u,practice work
abdullahyounis22,the purpose of this channel is totally related to internet of things with the help of this platform where we learn now things related to iot,572817,u,purpose
umerfarid53,the purpose of this channel is totally related to internet of things with the help of this platform we learn new things related to iot,572816,u,channel
nadiahijab,internet of things,572811,u,internet of things
skyscrapper007,it is the most emerging technology in cs field,572810,u,cs field
ferdicoast,home temperature monitoring,226971,t,home temperature monitoring
sapedu,room temperature humidity using si7021 lux using tsl2561 barometric pressure bmp180,316776,t,tsl2561 barometric pressure bmp180
softis,weather at taursa observatory,306254,w,weather
marinamyat,this channel measures pulse rate and temperature for id 569607,569607,t,channel measures pulse rate
karenbobiv,this is the air temperature at the pool,15365,t,pool
sarosh123,smart home automation using iot and arduino uno for 13 09 2018,574089,o,smart home automation
smishra401,record the health of tpms in every 18hrs,515960,o,hrs
pwntech002,computer room,478810,u,computer room
rubenayrapetyan,environment data of country house,308185,w,environment data of country house
anusha0103,measuring weather parameters,571313,w,weather parameters
ikarwisit,this channel shows temperature and pressure logged by raspberry pi and a bmp180 sensor using rpispy implementation,378718,t,temperature
iamshanmukha,which detects the hazardous gaseous and show it in the lcd and and upload it to the webserver in the form of ppm,572375,o,lcd
troutinsights,reports pond temperature every 15 minutes to cloud via cellular,572257,t,pond temperature
erik84750,upload of moisture sensor data received over hc12,393864,o,hc12
khunnay,real weather at home,573026,w,real weather
ahnchul76,ach_temp humid,328556,t,temp humid
ckeijzer,field monitor,293757,u,field monitor
jcocciardi,temperature and humidity monitoring device 2,329600,t,temperature
outofxs,just some temerature readings from my htpc,38853,t,temerature readings
aspirac,my paris home temperature humidity etc,544926,t,paris home temperature humidity
nhorward,all statistics related to harold my hamster,345243,o,statistics
theprez,analysing the wi fi signal strength rssi of an esp8266 to a thingspeak channel using the thingspeak api,235217,o,wi fi signal strength rssi
mamail54610,charles gerber 54 hotmail fr,352531,u,charles gerber
crannog,combined weather and diagnostic data from arduino based station,343375,w,arduino
olemin,kyiv outdoor temp pressure,254141,t,kyiv outdoor temp pressure
misterdog,power data from the hut,260164,e,power data
ssunilkumar,demonstrate dht11 from arduino,568385,t,dht11
jonandel,heating and data for house taking feeds from 1 nanode arduino clone 2 electric imp,390779,t,house
earlyengineers,monitoring the updates from temperature and humidity sensor5,566725,t,temperature
jwtrexler,air t rh water t,380234,u,air t rh water t
ocampossoto,heartrate monitor project,566877,o,heartrate monitor project
icenine,first test,465270,u,test
lemonkey,in f,374252,t,
erwin713,temperature and humidity some other shit,536193,t,temperature
irishrockr,channel to monitor environmental conditions of my apartment channel is supplied data via an esp8266 wifi module which has a bme280 sensor connected to it these are powered from a usb wall socket outlet for minimal setup installation,266187,y,bme280 sensor
zawisza,nodemcu weather data balkon,490334,w,nodemcu weather data balkon
pallismn,outside temperature in beaconsfield uk,424409,t,temperature
apulai,pa temperature humidity pressure,439549,t,pa temperature humidity pressure
gandipg,temperature and humidity,259103,t,temperature
estave,pig easy sow feeder 5,559894,o,easy sow feeder
margarine,temperature of cold room 1,116848,t,temperature of cold room
zangaby,solar powered temperature humidity pressure sensor,297993,e,solar powered temperature humidity pressure sensor
wictor,testing,7296,u,testing
nom4476,about room 205,297228,u,room
chinmayeeabit,educational,571063,u,
pratapabit,department of cse,571060,u,department of cse
estave,pig easy sow feeder 3,559892,u,easy sow feeder
joharo,check temperature of cooking field with infrared sensor,484541,t,temperature of cooking field
capitalchemist,analytics channel for southlands,455619,u,analytics channel
vzaoral,meteo data from wifi meteo station located on gru,403355,o,wifi meteo station
prithwijit,trying to upload the data,568977,u,data
atwin140,temp of the chicks,108185,t,temp
tuananhutehy1620,smart home,572409,u,smart home
blenheim,weather station iot,379398,w,weather station iot
yhcheng1108,test for iot,572873,u,test
marinamyat,this channel measures pulse rate and temperature for id 532501,532501,t,channel measures pulse rate
athulmangalam,athul,570923,u,athul
danee66,dust sensor and bmp180 sensor connected to an esp8266,72577,t,dust sensor
zeljko60,3x ds18b20 on raspberry pi,214106,t,x ds18b20
kociubin,data about house living room conditions,354702,u,data
siddhath022,testing iot,404808,u,iot
sevenlayerorg,temperature logger with esp8266 and ds18b20 sensor,40950,t,ds18b20 sensor
rockproper,iofthings accel data,572665,o,iofthings accel data
rockproper,iofthings accel data,572666,o,iofthings accel data
rockproper,iofthings accel data,572667,o,iofthings accel data
amanr1997,for the prototype of smart irrigation,572661,o,prototype of smart irrigation
mariagmail2,temp s2,572663,t,temp s2
nicolaasbotes,channel for nico to show speedtest,351868,o,channel
dduley,temperatures on the property,380036,t,temperatures
lalex65,test esp8266 and ds18b20,419324,t,test esp8266
gowerst,counter of scenarios,301749,u,counter of scenarios
moungs,temperature and humidity monitor,277301,t,temperature
divyaamulu,temp plotting,571868,t,temp plotting
funracer,alarme vom wlan thermo nano,571315,t,alarme
anusha0103,measuring weather parameters,571311,w,weather parameters
hman0369,wlan thermo,395292,t,wlan thermo
jpb032,monitoring of the farm,569443,o,farm
apskaft,weather info,496521,w,weather info
kalen004,cooling fans auto on off,234461,o,cooling fans
blue,weather at east part of tampere,332,w,weather
oe1gca,45 9 khz rf signal strength receiver for detecting sids sudden ionospheric disturbances triggered by an x ray burst of our sun,392524,o,x ray burst
jakubfranek,diy weather station brno nov l skovec,322828,w,diy weather station brno
jdi123,the 5v version dht22 and nodemcu on mongoose os,550421,t,version dht22
shaunorman,temperature reading for all the pool sensors,398808,t,temperature
reneko,temperature and humidity sensor,288821,t,temperature
sashacmc,fields 1 2 3 5 6 first device,63701,u,device
vabbott,temps humidity barometric pressure,275557,t,temps humidity barometric pressure
hawkhawk,my first channel is my first channel,571082,u,channel
pditty1995,realtime logging of data from emu 2 energy monitor home is 3000 sq ft 1st floor and 2500 sq ft basement 1st floor is conditioned air space using geothermal all electric home with heat pump hot water tank and icf construction,570680,e,icf construction
manosatyasai,home automation using computer vision,570684,o,home automation
kumarks03,rain water analysis,470058,o,rain water analysis
infoivte1,to measure air quality and sound system in db,569822,o,db
karbonbaron,collecting data from weather meteo station nova jezna cz,533924,w,data
tihorb,random temperature and humidity data passed from a java program at an interval of 10 seconds,570235,t,interval
sidramehboob,just knowledge,572857,u,knowledge
patata221235,weather condition display,572859,w,weather condition display
lucbel01,the temperature in my workroom,213920,t,temperature
bamboe32,weather in vilar formoso portugal,357090,w,weather
bamboe32,weather in penha garcia portugal,357091,w,weather
bamboe32,weather in anadia portugal,357093,w,weather
bamboe32,weather in avel s de caminho portugal,357094,w,caminho portugal
meisterq,esp wroom 32 and bme280 powerd by an 6v 4 5w solarpanel with an 2500mah 1c 3 7v lipo,437049,e,lipo
bamboe32,weather in alvares portugal,357096,w,weather
bpowell2008,monitor the current draw of the water heater and the temperature of the outlet,530269,e,current draw
coop28,light and temperature readings from my chicken coop you can see the coop at www thechickinn us,306215,t,light
addergebroed,temperature measurements on central heating,263700,t,temperature measurements
harsha_uom,temp and hum in server testing,137387,t,temp
geovogel,analyze of data acquired from home weather hvac and electrical systems,306016,w,electrical systems
webheart2,heart without heart,574046,o,heart
macraj,test thingspeak,574047,u,test thingspeak
ashi2512,we are collecting data from moisture temperature and humidity sensors and storing it on the cloud server,570909,t,moisture temperature
mikeegner,weather data from the misty valley farmhouse,373128,w,misty valley farmhouse
johnvanlaanen,indoor locations,209666,o,indoor locations
csnbailey,loft temperature reading and ventilation fan status,209664,t,ventilation fan status
wrangsri,test with pi,503375,u,test
szabonandi73,solar hot water system esp8266 as thingspeak logger from serial csv data,43709,o,solar hot water system esp8266
drsijosae,home power consumption measurement,118103,e,home power consumption measurement
tlharv18,local temperature humidity,522575,t,local temperature humidity
rgruenig,test node for photon to particle cloud to ts channel for mutual air prototype mk2,562224,o,photon
habibasabrina,the sound sensor will detect the sound,572215,o,sound sensor
cjdau81,receiving temperature and humidity data from nodemcu also receiving data from thingspeak to feed an amazon alexa skill to read the glasshouse temperature,220364,t,nodemcu
veneto,temperature and humidity,227329,t,temperature
dbonzon,indoor temperature humidity pressure luminosity bme280 wemos,251751,t,indoor temperature humidity pressure luminosity bme280 wemos
indridcold,dht22 temperature humidity sensor driven by a raspberry pi 3 running a python script,320096,t,python script
jeetkoradia2000,best tycoon channel,571746,u,best tycoon channel
jeetkoradia2000,best tycoon channel,571747,u,best tycoon channel
jeetkoradia2000,best tycoon channel,571744,u,best tycoon channel
jeetkoradia2000,best tycoon channel,571745,u,best tycoon channel
jeetkoradia2000,best tycoon channel,571742,u,best tycoon channel
jeetkoradia2000,best tycoon channel,571743,u,best tycoon channel
avikoti,first channel thingspeak,571740,u,channel thingspeak
jeetkoradia2000,best tycoon channel,571741,u,best tycoon channel
jeetkoradia2000,best tycoon channel,571748,u,best tycoon channel
dickinsonlabs,6 onewire sensors with raspberry pi and python 1 neptune r900v3 municipal water meter,63342,o,neptune r900v3 municipal water meter
adriangarbacea,water heater solar panel monitoring,543348,o,water heater solar panel monitoring
draghi,different parameters of the aquarium,236702,o,different parameters
stankopetric,esp wroom external sensor temerature pressure humidity altitude,426347,t,esp wroom external sensor temerature pressure humidity altitude
kingster,electric line voltage as measured in hsr bangalore,463274,r,hsr bangalore
mberkelm,second esp8266 module for testing sensors periferal devices,255588,o,testing sensors periferal devices
cohome144,temp_light intensity reading,263399,t,temp
sonny1,monitor temperatures of t wort 3 4 wort in top 1 4 of fermenter t wort 1 4 wort in bottom 1 4 of fermenter t chamber inside chamber on outside of fermenter 1 4 from bottom,477830,t,temperatures of t wort
casstudio,cas studio temperature and humidity earth straw wall measurements,299656,t,cas studio temperature
razibu,local temperature and humidity near lausanne switzerland feeding weatherstation display source code based on code from squix78 https blog squix org,299651,t,squix78 https blog squix org
mutton74,highfields,225216,u,highfields
